security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,292.722,307.241,-4.7
L1,ed25519,hqc128,pq_pur,367.81,307.241,19.7
L1,ed25519,mlkem512,pq_pur,277.25,307.241,-9.8
L1,ed25519,p256_hqc128,hybride,353.049,307.241,14.9
L1,ed25519,p256_mlkem512,hybride,298.464,307.241,-2.9
L1,ed25519,x25519_hqc128,hybride,423.694,307.241,37.9
L1,ed25519,x25519_mlkem512,hybride,305.793,307.241,-0.5
L1,ed25519,x25519,classique,285.082,307.241,-7.2
L1,mldsa44,P-256,classique,322.245,307.241,4.9
L1,mldsa44,hqc128,pq_pur,351.484,307.241,14.4
L1,mldsa44,mlkem512,pq_pur,384.287,307.241,25.1
L1,mldsa44,p256_hqc128,hybride,472.921,307.241,53.9
L1,mldsa44,p256_mlkem512,hybride,330.715,307.241,7.6
L1,mldsa44,x25519_hqc128,hybride,356.025,307.241,15.9
L1,mldsa44,x25519_mlkem512,hybride,306.423,307.241,-0.3
L1,mldsa44,x25519,classique,328.917,307.241,7.1
L3,mldsa65,P-384,classique,382.374,331.073,15.5
L3,mldsa65,hqc192,pq_pur,448.893,331.073,35.6
L3,mldsa65,mlkem768,pq_pur,395.202,331.073,19.4
L3,mldsa65,p384_hqc192,hybride,517.091,331.073,56.2
L3,mldsa65,p384_mlkem768,hybride,288.308,331.073,-12.9
L3,mldsa65,x448_hqc192,hybride,429.107,331.073,29.6
L3,mldsa65,x448_mlkem768,hybride,373.48,331.073,12.8
L3,mldsa65,x448,classique,362.892,331.073,9.6
L5,mldsa87,P-521,classique,406.859,350.897,15.9
L5,mldsa87,hqc256,pq_pur,594.928,350.897,69.5
L5,mldsa87,mlkem1024,pq_pur,378.614,350.897,7.9
L5,mldsa87,p521_hqc256,hybride,577.818,350.897,64.7
L5,mldsa87,p521_mlkem1024,hybride,443.998,350.897,26.5
L3,secp384r1,P-384,classique,310.077,331.073,-6.3
L3,secp384r1,hqc192,pq_pur,362.034,331.073,9.4
L3,secp384r1,mlkem768,pq_pur,269.539,331.073,-18.6
L3,secp384r1,p384_hqc192,hybride,550.895,331.073,66.4
L3,secp384r1,p384_mlkem768,hybride,313.852,331.073,-5.2
L3,secp384r1,x448_hqc192,hybride,556.047,331.073,68.0
L3,secp384r1,x448_mlkem768,hybride,270.784,331.073,-18.2
L3,secp384r1,x448,classique,268.95,331.073,-18.8
L5,secp521r1,P-521,classique,294.935,350.897,-15.9
L5,secp521r1,hqc256,pq_pur,709.147,350.897,102.1
L5,secp521r1,mlkem1024,pq_pur,283.961,350.897,-19.1
L5,secp521r1,p521_hqc256,hybride,446.586,350.897,27.3
L5,secp521r1,p521_mlkem1024,hybride,255.255,350.897,-27.3
