security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,379.672,405.782,-6.4
L1,ed25519,hqc128,pq_pur,432.58,405.782,6.6
L1,ed25519,mlkem512,pq_pur,383.221,405.782,-5.6
L1,ed25519,p256_hqc128,hybride,454.472,405.782,12.0
L1,ed25519,p256_mlkem512,hybride,387.931,405.782,-4.4
L1,ed25519,x25519_hqc128,hybride,434.052,405.782,7.0
L1,ed25519,x25519_mlkem512,hybride,381.902,405.782,-5.9
L1,ed25519,x25519,classique,382.783,405.782,-5.7
L1,mldsa44,P-256,classique,436.594,405.782,7.6
L1,mldsa44,hqc128,pq_pur,471.367,405.782,16.2
L1,mldsa44,mlkem512,pq_pur,435.865,405.782,7.4
L1,mldsa44,p256_hqc128,hybride,490.224,405.782,20.8
L1,mldsa44,p256_mlkem512,hybride,452.637,405.782,11.5
L1,mldsa44,x25519_hqc128,hybride,457.667,405.782,12.8
L1,mldsa44,x25519_mlkem512,hybride,440.156,405.782,8.5
L1,mldsa44,x25519,classique,424.079,405.782,4.5
L3,mldsa65,P-384,classique,466.304,422.986,10.2
L3,mldsa65,hqc192,pq_pur,681.591,422.986,61.1
L3,mldsa65,mlkem768,pq_pur,462.893,422.986,9.4
L3,mldsa65,p384_hqc192,hybride,693.476,422.986,63.9
L3,mldsa65,p384_mlkem768,hybride,455.637,422.986,7.7
L3,mldsa65,x448_hqc192,hybride,655.324,422.986,54.9
L3,mldsa65,x448_mlkem768,hybride,453.834,422.986,7.3
L3,mldsa65,x448,classique,438.531,422.986,3.7
L5,mldsa87,P-521,classique,605.917,498.138,21.6
L5,mldsa87,hqc256,pq_pur,789.424,498.138,58.5
L5,mldsa87,mlkem1024,pq_pur,609.528,498.138,22.4
L5,mldsa87,p521_hqc256,hybride,735.563,498.138,47.7
L5,mldsa87,p521_mlkem1024,hybride,634.373,498.138,27.3
L3,secp384r1,P-384,classique,394.95,422.986,-6.6
L3,secp384r1,hqc192,pq_pur,489.545,422.986,15.7
L3,secp384r1,mlkem768,pq_pur,406.007,422.986,-4.0
L3,secp384r1,p384_hqc192,hybride,523.879,422.986,23.9
L3,secp384r1,p384_mlkem768,hybride,402.818,422.986,-4.8
L3,secp384r1,x448_hqc192,hybride,511.258,422.986,20.9
L3,secp384r1,x448_mlkem768,hybride,387.314,422.986,-8.4
L3,secp384r1,x448,classique,392.158,422.986,-7.3
L5,secp521r1,P-521,classique,390.358,498.138,-21.6
L5,secp521r1,hqc256,pq_pur,727.515,498.138,46.0
L5,secp521r1,mlkem1024,pq_pur,393.014,498.138,-21.1
L5,secp521r1,p521_hqc256,hybride,667.353,498.138,34.0
L5,secp521r1,p521_mlkem1024,hybride,422.128,498.138,-15.3
