security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,354.512,341.178,3.9
L1,ed25519,hqc128,pq_pur,83.324,341.178,-75.6
L1,ed25519,mlkem512,pq_pur,253.195,341.178,-25.8
L1,ed25519,p256_hqc128,hybride,112.658,341.178,-67.0
L1,ed25519,p256_mlkem512,hybride,241.458,341.178,-29.2
L1,ed25519,x25519_hqc128,hybride,139.959,341.178,-59.0
L1,ed25519,x25519_mlkem512,hybride,256.116,341.178,-24.9
L1,ed25519,x25519,classique,265.243,341.178,-22.3
L1,mldsa44,P-256,classique,342.303,341.178,0.3
L1,mldsa44,hqc128,pq_pur,182.193,341.178,-46.6
L1,mldsa44,mlkem512,pq_pur,411.194,341.178,20.5
L1,mldsa44,p256_hqc128,hybride,184.481,341.178,-45.9
L1,mldsa44,p256_mlkem512,hybride,283.079,341.178,-17.0
L1,mldsa44,x25519_hqc128,hybride,150.273,341.178,-56.0
L1,mldsa44,x25519_mlkem512,hybride,300.203,341.178,-12.0
L1,mldsa44,x25519,classique,402.654,341.178,18.0
L3,mldsa65,P-384,classique,648.815,506.159,28.2
L3,mldsa65,hqc192,pq_pur,162.628,506.159,-67.9
L3,mldsa65,mlkem768,pq_pur,473.624,506.159,-6.4
L3,mldsa65,p384_hqc192,hybride,164.09,506.159,-67.6
L3,mldsa65,p384_mlkem768,hybride,428.297,506.159,-15.4
L3,mldsa65,x448_hqc192,hybride,178.989,506.159,-64.6
L3,mldsa65,x448_mlkem768,hybride,550.207,506.159,8.7
L3,mldsa65,x448,classique,635.12,506.159,25.5
L5,mldsa87,P-521,classique,719.385,523.051,37.5
L5,mldsa87,hqc256,pq_pur,204.796,523.051,-60.8
L5,mldsa87,mlkem1024,pq_pur,540.098,523.051,3.3
L5,mldsa87,p521_hqc256,hybride,260.599,523.051,-50.2
L5,mldsa87,p521_mlkem1024,hybride,477.824,523.051,-8.6
L3,secp384r1,P-384,classique,441.322,506.159,-12.8
L3,secp384r1,hqc192,pq_pur,132.932,506.159,-73.7
L3,secp384r1,mlkem768,pq_pur,213.423,506.159,-57.8
L3,secp384r1,p384_hqc192,hybride,168.518,506.159,-66.7
L3,secp384r1,p384_mlkem768,hybride,219.176,506.159,-56.7
L3,secp384r1,x448_hqc192,hybride,138.264,506.159,-72.7
L3,secp384r1,x448_mlkem768,hybride,232.777,506.159,-54.0
L3,secp384r1,x448,classique,299.377,506.159,-40.9
L5,secp521r1,P-521,classique,326.716,523.051,-37.5
L5,secp521r1,hqc256,pq_pur,163.333,523.051,-68.8
L5,secp521r1,mlkem1024,pq_pur,268.994,523.051,-48.6
L5,secp521r1,p521_hqc256,hybride,221.818,523.051,-57.6
L5,secp521r1,p521_mlkem1024,hybride,232.672,523.051,-55.5
