security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,138.822,209.332,-33.7
L1,ed25519,hqc128,pq_pur,161.405,209.332,-22.9
L1,ed25519,mlkem512,pq_pur,133.285,209.332,-36.3
L1,ed25519,p256_hqc128,hybride,172.553,209.332,-17.6
L1,ed25519,p256_mlkem512,hybride,152.801,209.332,-27.0
L1,ed25519,x25519_hqc128,hybride,162.301,209.332,-22.5
L1,ed25519,x25519_mlkem512,hybride,148.89,209.332,-28.9
L1,ed25519,x25519,classique,150.427,209.332,-28.1
L1,mldsa44,P-256,classique,272.808,209.332,30.3
L1,mldsa44,hqc128,pq_pur,313.57,209.332,49.8
L1,mldsa44,mlkem512,pq_pur,264.358,209.332,26.3
L1,mldsa44,p256_hqc128,hybride,294.77,209.332,40.8
L1,mldsa44,p256_mlkem512,hybride,294.482,209.332,40.7
L1,mldsa44,x25519_hqc128,hybride,300.618,209.332,43.6
L1,mldsa44,x25519_mlkem512,hybride,290.792,209.332,38.9
L1,mldsa44,x25519,classique,275.271,209.332,31.5
L3,mldsa65,P-384,classique,286.529,218.249,31.3
L3,mldsa65,hqc192,pq_pur,342.762,218.249,57.1
L3,mldsa65,mlkem768,pq_pur,301.747,218.249,38.3
L3,mldsa65,p384_hqc192,hybride,360.249,218.249,65.1
L3,mldsa65,p384_mlkem768,hybride,292.539,218.249,34.0
L3,mldsa65,x448_hqc192,hybride,350.891,218.249,60.8
L3,mldsa65,x448_mlkem768,hybride,277.695,218.249,27.2
L3,mldsa65,x448,classique,290.149,218.249,32.9
L5,mldsa87,P-521,classique,291.904,216.471,34.8
L5,mldsa87,hqc256,pq_pur,738.67,216.471,241.2
L5,mldsa87,mlkem1024,pq_pur,281.437,216.471,30.0
L5,mldsa87,p521_hqc256,hybride,745.61,216.471,244.4
L5,mldsa87,p521_mlkem1024,hybride,304.758,216.471,40.8
L3,secp384r1,P-384,classique,145.228,218.249,-33.5
L3,secp384r1,hqc192,pq_pur,208.99,218.249,-4.2
L3,secp384r1,mlkem768,pq_pur,142.214,218.249,-34.8
L3,secp384r1,p384_hqc192,hybride,207.773,218.249,-4.8
L3,secp384r1,p384_mlkem768,hybride,154.835,218.249,-29.1
L3,secp384r1,x448_hqc192,hybride,205.843,218.249,-5.7
L3,secp384r1,x448_mlkem768,hybride,170.819,218.249,-21.7
L3,secp384r1,x448,classique,151.091,218.249,-30.8
L5,secp521r1,P-521,classique,141.037,216.471,-34.8
L5,secp521r1,hqc256,pq_pur,715.057,216.471,230.3
L5,secp521r1,mlkem1024,pq_pur,156.159,216.471,-27.9
L5,secp521r1,p521_hqc256,hybride,714.956,216.471,230.3
L5,secp521r1,p521_mlkem1024,hybride,171.629,216.471,-20.7
