security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,367.269,374.698,-2.0
L1,ed25519,hqc128,pq_pur,420.488,374.698,12.2
L1,ed25519,mlkem512,pq_pur,371.095,374.698,-1.0
L1,ed25519,p256_hqc128,hybride,451.821,374.698,20.6
L1,ed25519,p256_mlkem512,hybride,386.171,374.698,3.1
L1,ed25519,x25519_hqc128,hybride,432.465,374.698,15.4
L1,ed25519,x25519_mlkem512,hybride,372.967,374.698,-0.5
L1,ed25519,x25519,classique,372.829,374.698,-0.5
L1,mldsa44,P-256,classique,381.032,374.698,1.7
L1,mldsa44,hqc128,pq_pur,424.803,374.698,13.4
L1,mldsa44,mlkem512,pq_pur,376.201,374.698,0.4
L1,mldsa44,p256_hqc128,hybride,423.446,374.698,13.0
L1,mldsa44,p256_mlkem512,hybride,395.857,374.698,5.6
L1,mldsa44,x25519_hqc128,hybride,432.465,374.698,15.4
L1,mldsa44,x25519_mlkem512,hybride,375.652,374.698,0.3
L1,mldsa44,x25519,classique,377.662,374.698,0.8
L3,mldsa65,P-384,classique,391.066,378.685,3.3
L3,mldsa65,hqc192,pq_pur,608.893,378.685,60.8
L3,mldsa65,mlkem768,pq_pur,392.205,378.685,3.6
L3,mldsa65,p384_hqc192,hybride,630.878,378.685,66.6
L3,mldsa65,p384_mlkem768,hybride,412.899,378.685,9.0
L3,mldsa65,x448_hqc192,hybride,609.02,378.685,60.8
L3,mldsa65,x448_mlkem768,hybride,390.51,378.685,3.1
L3,mldsa65,x448,classique,380.315,378.685,0.4
L5,mldsa87,P-521,classique,400.784,387.598,3.4
L5,mldsa87,hqc256,pq_pur,708.326,387.598,82.7
L5,mldsa87,mlkem1024,pq_pur,549.662,387.598,41.8
L5,mldsa87,p521_hqc256,hybride,734.742,387.598,89.6
L5,mldsa87,p521_mlkem1024,hybride,560.419,387.598,44.6
L3,secp384r1,P-384,classique,372.322,378.685,-1.7
L3,secp384r1,hqc192,pq_pur,496.189,378.685,31.0
L3,secp384r1,mlkem768,pq_pur,363.424,378.685,-4.0
L3,secp384r1,p384_hqc192,hybride,488.16,378.685,28.9
L3,secp384r1,p384_mlkem768,hybride,407.471,378.685,7.6
L3,secp384r1,x448_hqc192,hybride,504.418,378.685,33.2
L3,secp384r1,x448_mlkem768,hybride,369.825,378.685,-2.3
L3,secp384r1,x448,classique,371.037,378.685,-2.0
L5,secp521r1,P-521,classique,374.412,387.598,-3.4
L5,secp521r1,hqc256,pq_pur,702.635,387.598,81.3
L5,secp521r1,mlkem1024,pq_pur,379.89,387.598,-2.0
L5,secp521r1,p521_hqc256,hybride,705.015,387.598,81.9
L5,secp521r1,p521_mlkem1024,hybride,392.369,387.598,1.2
