security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,4.717,3.085,52.9
L1,ed25519,hqc128,pq_pur,16.599,3.085,438.1
L1,ed25519,mlkem512,pq_pur,1.749,3.085,-43.3
L1,ed25519,p256_hqc128,hybride,21.629,3.085,601.1
L1,ed25519,p256_mlkem512,hybride,18.68,3.085,505.5
L1,ed25519,x25519_hqc128,hybride,16.599,3.085,438.1
L1,ed25519,x25519_mlkem512,hybride,2.048,3.085,-33.6
L1,ed25519,x25519,classique,4.486,3.085,45.4
L1,mldsa44,P-256,classique,1.62,3.085,-47.5
L1,mldsa44,hqc128,pq_pur,16.542,3.085,436.2
L1,mldsa44,mlkem512,pq_pur,1.499,3.085,-51.4
L1,mldsa44,p256_hqc128,hybride,22.461,3.085,628.1
L1,mldsa44,p256_mlkem512,hybride,7.414,3.085,140.3
L1,mldsa44,x25519_hqc128,hybride,17.68,3.085,473.1
L1,mldsa44,x25519_mlkem512,hybride,1.86,3.085,-39.7
L1,mldsa44,x25519,classique,1.519,3.085,-50.8
L3,mldsa65,P-384,classique,2.921,3.23,-9.6
L3,mldsa65,hqc192,pq_pur,44.946,3.23,1291.5
L3,mldsa65,mlkem768,pq_pur,1.638,3.23,-49.3
L3,mldsa65,p384_hqc192,hybride,51.271,3.23,1487.3
L3,mldsa65,p384_mlkem768,hybride,8.72,3.23,170.0
L3,mldsa65,x448_hqc192,hybride,45.91,3.23,1321.4
L3,mldsa65,x448_mlkem768,hybride,3.205,3.23,-0.8
L3,mldsa65,x448,classique,2.343,3.23,-27.5
L5,mldsa87,P-521,classique,2.911,4.078,-28.6
L5,mldsa87,hqc256,pq_pur,81.206,4.078,1891.3
L5,mldsa87,mlkem1024,pq_pur,1.779,4.078,-56.4
L5,mldsa87,p521_hqc256,hybride,87.514,4.078,2046.0
L5,mldsa87,p521_mlkem1024,hybride,8.774,4.078,115.2
L3,secp384r1,P-384,classique,4.036,3.23,25.0
L3,secp384r1,hqc192,pq_pur,47.274,3.23,1363.6
L3,secp384r1,mlkem768,pq_pur,2.991,3.23,-7.4
L3,secp384r1,p384_hqc192,hybride,51.935,3.23,1507.9
L3,secp384r1,p384_mlkem768,hybride,9.936,3.23,207.6
L3,secp384r1,x448_hqc192,hybride,48.752,3.23,1409.3
L3,secp384r1,x448_mlkem768,hybride,4.502,3.23,39.4
L3,secp384r1,x448,classique,3.622,3.23,12.1
L5,secp521r1,P-521,classique,5.245,4.078,28.6
L5,secp521r1,hqc256,pq_pur,84.111,4.078,1962.6
L5,secp521r1,mlkem1024,pq_pur,3.224,4.078,-20.9
L5,secp521r1,p521_hqc256,hybride,88.17,4.078,2062.1
L5,secp521r1,p521_mlkem1024,hybride,10.103,4.078,147.7
