security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,68.548,98.635,-30.5
L1,ed25519,hqc128,pq_pur,80.685,98.635,-18.2
L1,ed25519,mlkem512,pq_pur,64.395,98.635,-34.7
L1,ed25519,p256_hqc128,hybride,87.267,98.635,-11.5
L1,ed25519,p256_mlkem512,hybride,77.56,98.635,-21.4
L1,ed25519,x25519_hqc128,hybride,78.865,98.635,-20.0
L1,ed25519,x25519_mlkem512,hybride,66.176,98.635,-32.9
L1,ed25519,x25519,classique,62.283,98.635,-36.9
L1,mldsa44,P-256,classique,138.364,98.635,40.3
L1,mldsa44,hqc128,pq_pur,142.85,98.635,44.8
L1,mldsa44,mlkem512,pq_pur,122.84,98.635,24.5
L1,mldsa44,p256_hqc128,hybride,148.157,98.635,50.2
L1,mldsa44,p256_mlkem512,hybride,130.591,98.635,32.4
L1,mldsa44,x25519_hqc128,hybride,142.586,98.635,44.6
L1,mldsa44,x25519_mlkem512,hybride,124.985,98.635,26.7
L1,mldsa44,x25519,classique,125.343,98.635,27.1
L3,mldsa65,P-384,classique,138.805,104.62,32.7
L3,mldsa65,hqc192,pq_pur,176.506,104.62,68.7
L3,mldsa65,mlkem768,pq_pur,127.0,104.62,21.4
L3,mldsa65,p384_hqc192,hybride,185.321,104.62,77.1
L3,mldsa65,p384_mlkem768,hybride,134.05,104.62,28.1
L3,mldsa65,x448_hqc192,hybride,182.013,104.62,74.0
L3,mldsa65,x448_mlkem768,hybride,126.584,104.62,21.0
L3,mldsa65,x448,classique,147.365,104.62,40.9
L5,mldsa87,P-521,classique,143.382,107.52,33.4
L5,mldsa87,hqc256,pq_pur,393.353,107.52,265.8
L5,mldsa87,mlkem1024,pq_pur,131.857,107.52,22.6
L5,mldsa87,p521_hqc256,hybride,402.243,107.52,274.1
L5,mldsa87,p521_mlkem1024,hybride,133.752,107.52,24.4
L3,secp384r1,P-384,classique,67.898,104.62,-35.1
L3,secp384r1,hqc192,pq_pur,108.214,104.62,3.4
L3,secp384r1,mlkem768,pq_pur,65.595,104.62,-37.3
L3,secp384r1,p384_hqc192,hybride,120.587,104.62,15.3
L3,secp384r1,p384_mlkem768,hybride,76.075,104.62,-27.3
L3,secp384r1,x448_hqc192,hybride,110.965,104.62,6.1
L3,secp384r1,x448_mlkem768,hybride,66.584,104.62,-36.4
L3,secp384r1,x448,classique,64.412,104.62,-38.4
L5,secp521r1,P-521,classique,71.658,107.52,-33.4
L5,secp521r1,hqc256,pq_pur,386.438,107.52,259.4
L5,secp521r1,mlkem1024,pq_pur,66.257,107.52,-38.4
L5,secp521r1,p521_hqc256,hybride,393.311,107.52,265.8
L5,secp521r1,p521_mlkem1024,hybride,80.673,107.52,-25.0
